product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
28025,8.0,5.0,2.0,2.0,1.0,1.0,1.75
62014,8.0,8.0,2.0,2.0,1.0,1.0,1.75
84472,8.0,5.0,50.0,2.0,1.0,1.95,1.75
60619,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60344,8.0,5.0,2.0,2.0,1.0,1.0,1.75
78903,8.0,5.0,2.0,2.0,1.0,1.0,1.75
83579,8.0,5.0,2.0,2.0,1.0,1.0,1.75
75800,8.0,5.0,2.0,2.0,2.2,1.0,1.75
38621,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50200,8.0,8.0,2.0,2.0,1.0,1.0,1.75
36493,8.0,12.0,12.0,2.0,1.5,1.8,1.75
83340,8.0,5.0,2.0,2.0,1.0,1.0,1.75
48337,50.0,5.0,2.0,2.0,1.0,1.0,1.8
66931,50.0,5.0,2.0,2.0,1.0,1.0,1.75
57498,8.0,5.0,2.0,2.0,1.0,1.0,1.75
12436,8.0,5.0,2.0,2.0,1.0,1.0,1.75
54445,50.0,5.0,2.0,2.0,1.0,1.0,1.75
61834,8.0,5.0,2.0,2.0,1.0,1.0,1.75
84477,8.0,5.0,50.0,2.0,1.0,1.9,1.75
72210,8.0,5.0,2.0,2.0,1.0,1.0,1.75
77856,8.0,5.0,180.0,2.0,1.4,2.0,1.75
55068,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72201,8.0,5.0,2.0,2.0,1.0,1.0,1.75
59598,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66377,8.0,5.0,2.0,2.0,2.0,1.6,1.75
36501,8.0,12.0,12.0,2.0,1.5,1.8,1.75
62012,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55930,8.0,8.0,2.0,2.0,1.0,1.0,1.75
89099,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64073,8.0,5.0,2.0,2.0,1.0,1.0,1.75
77505,50.0,50.0,2.0,2.0,1.0,1.0,1.75
51983,8.0,12.0,2.0,2.0,1.5,1.0,1.75
35084,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73393,8.0,5.0,2.0,2.0,1.0,1.0,1.75
89224,8.0,5.0,2.0,2.0,1.0,1.0,1.75
79117,8.0,5.0,2.0,2.0,1.9,1.0,1.75
48949,50.0,12.0,10.0,2.0,1.8,2.2,1.75
57253,50.0,8.0,2.0,2.0,1.88,1.0,1.75
72207,8.0,5.0,2.0,2.0,1.0,1.0,1.75
58609,8.0,5.0,2.0,2.0,1.8,1.0,2.2
55511,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72113,50.0,5.0,48.0,2.0,1.0,1.0,1.75
56134,8.0,5.0,2.0,2.0,1.0,1.0,1.75
88563,8.0,5.0,2.0,2.0,1.0,1.0,1.75
88452,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66929,50.0,5.0,2.0,2.0,1.0,1.0,1.75
82061,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50258,8.0,5.0,2.0,2.0,1.0,1.0,1.75
83341,8.0,5.0,2.0,2.0,1.0,1.0,1.75
54285,8.0,5.0,2.0,2.0,1.0,1.0,1.75
58498,8.0,48.0,32.0,2.0,1.0,1.0,1.75
63276,108.0,8.0,2.0,2.0,1.0,1.0,1.75
61801,8.0,50.0,32.0,2.0,1.9,2.0,1.75
78379,8.0,5.0,2.0,2.0,1.0,1.0,1.75
87124,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55763,8.0,5.0,2.0,2.0,1.0,1.0,1.75
83038,8.0,5.0,2.0,2.0,1.0,1.0,1.75
63450,8.0,5.0,2.0,2.0,1.0,1.0,1.75
89107,8.0,5.0,2.0,2.0,1.0,1.0,1.75
49114,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73551,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72114,50.0,5.0,2.0,2.0,1.0,1.0,1.8
49112,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53443,8.0,5.0,2.0,2.0,1.0,1.0,1.75
71548,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53192,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82060,8.0,5.0,2.0,2.0,1.0,1.0,1.75
73017,8.0,5.0,2.0,2.0,1.0,1.0,1.75
35897,8.0,12.0,2.0,2.0,1.0,1.0,1.75
90480,8.0,5.0,2.0,2.0,1.0,1.0,1.75
54449,8.0,5.0,2.0,2.0,1.0,2.4,1.75
81357,8.0,50.0,2.0,2.0,1.4,1.0,1.75
66932,50.0,5.0,2.0,2.0,1.0,1.0,1.75
49260,8.0,5.0,2.0,2.0,1.0,1.0,1.75
28959,8.0,5.0,2.0,2.0,1.0,1.0,1.75
85242,108.0,5.0,2.0,2.0,1.0,1.0,1.75
62208,8.0,5.0,2.0,2.0,1.0,2.2,1.75
86565,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55509,8.0,50.0,48.0,2.0,1.0,1.0,1.75
64268,8.0,5.0,2.0,2.0,1.0,1.0,1.75
63188,8.0,5.0,2.0,2.0,1.0,1.0,2.2
59589,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64327,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72198,8.0,5.0,2.0,2.0,1.0,1.0,1.75
46376,8.0,5.0,2.0,2.0,1.0,1.0,1.75
65917,8.0,5.0,2.0,2.0,1.0,1.0,1.75
85279,8.0,5.0,2.0,2.0,1.0,1.0,1.75
87082,8.0,5.0,2.0,2.0,1.0,1.0,1.75
60677,8.0,5.0,2.0,2.0,1.0,1.0,1.75
25663,8.0,5.0,2.0,2.0,1.0,1.0,1.75
55079,8.0,5.0,2.0,2.0,1.0,1.0,1.75
62305,8.0,5.0,2.0,2.0,1.0,1.0,1.75
26380,8.0,5.0,2.0,2.0,1.0,1.0,1.75
27852,8.0,5.0,2.0,2.0,1.0,1.0,1.75
72199,8.0,5.0,2.0,2.0,1.0,1.0,1.75
81322,8.0,5.0,2.0,2.0,1.0,1.0,1.75
66376,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53774,8.0,12.0,50.0,2.0,1.0,1.0,1.75
