product_id,camera_video
90119,Quay video 4K Dolby Vision ở tốc độ 24 fpsQuay video 1080p Dolby VisionQuay video 720p Dolby Vision
90675,1080p@30fps
33644,"4K@30fps, 1080p@30/120fps"
85820,HD 720p@30fpsFullHD 1080p@30fps
80254,N/A
86542,1080p @ 30fps720p @ 30fps480p @ 30fps
44939,1080p@30fps720p@30fps
90676,N/A
64828,HD 720p@30fpsFullHD 1080p@30fps
63898,1080p@30fps
53189,"FullHD 1080p@30fps, HD 720p@30fps"
79802,N/A
39195,FullHD 1080p@30fpsHD 720p@240fpsHD 720p@30fpsFullHD 1080p@60fpsHD 720p@60fpsFullHD 1080p@120fps4K 2160p@30fps
52293,Hỗ trợ quay phim 1080P/30fpsHỗ trợ quay phim 720P/30fpsHỗ trợ quay phim 480P/30fps
48952,"4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+"
64066,FullHD 1080p@30fpsHD 720p@30fps
79801,N/A
82236,1080p@30fpsHD 720p@30fps
72735,1080P/30fps720P/30fps480P/30fps
74388,N/A
92113,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps720p@30 fps"
36639,FullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fpsHD 720p@30fps
90113,N/A
50751,"FullHD 1080p@30fps, HD 720p@30fps"
74096,1080p@30fps
79219,1080p@30fps
54445,1080p@30fps
54484,Hỗ trợ quay phim 1080P/30fpsHỗ trợ quay phim 720P/30fpsHỗ trợ quay phim 480P/30fps
91339,N/A
50350,8K 4320p@30fpsFullHD 1080p@30fpsFullHD 1080p@60fpsHD 720p@30fpsHD 720p@60fps
57498,"8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS"
88631,N/A
89100,N/A
25864,"Trước: 4K@24/30/60fps, 1080p@30/60/120fps, gyro-EISSau: 4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec."
33485,4K@24/30/60fps1080p FullHD @24/30/60fps720p HD@30fps
